from,to,expandToAllLocales
/products/labs,https://labs.emotiv.com/,TRUE
/blogs/career/inside-sales-representative,/blogs/careers,TRUE
/pages/copy-of-emotivpro-licensing-every-5-years,/emotivpro,TRUE
/products/xtrodes-montage-eeg-1,https://shop.emotiv.com/xtrodes-eeg%E2%82%81%E2%82%82-multi-electrode-patch/,TRUE
/products/xtr-eeg12,https://shop.emotiv.com/xtrodes-eeg%E2%82%81%E2%82%82-multi-electrode-patch/,TRUE
/products/standard-annual-prepaid,/emotivpro,TRUE
/products/flex-silicone-skirt-pack,https://shop.emotiv.com/flex-silicone-skirt-pack/,TRUE
/pages/compare-emotivpro-features,/emotivpro,TRUE
/products/standard-team-5-years,/emotivpro,TRUE
/blogs/careers/developer-evangelist,/blogs/careers,TRUE
/pages/christmas-2024,https://shop.emotiv.com/,TRUE
/products/standard-team-annual-prepaid,/emotivpro,TRUE
/products/xtrodes-montage-eeg,https://shop.emotiv.com/xtrodes-eeg%E2%82%81%E2%82%86-multi-electrode-patch/,TRUE
/products/standard-team-annual-paid-monthly,/emotivpro,TRUE
/products/mn8-sensor-pack,https://shop.emotiv.com/mn8-sensor-pack/,TRUE
/products/xtr-multi-electrode-patches-bundle-10x-eeg-10x-eeg-10x-exg-with-data-acquisition-unit,https://shop.emotiv.com/x-trodes-multi-electrode-patch-and-data-acquisition-unit/,TRUE
/products/xtr-exg-multi-electrode-patch-pack-of-30-with-data-acquisition-unit,https://shop.emotiv.com/x-trodes-multi-electrode-patch-and-data-acquisition-unit/,TRUE
/blogs/press/quality-assurance-tester-qa-hanoi-vietnam,/blogs/careers,TRUE
/blogs/press/emotivpro-subscription-plan-updates,/emotivpro,TRUE
/pages/tabbed-hardware-triggering,/pages/quick-start-guide-extender,TRUE
/pages/saline-only,/pages/quick-start-guide-flex,TRUE
/pages/emotivpro-annually,/emotivpro,TRUE
/pages/emotivpro-licensing-every-3-years,/emotivpro,TRUE
/products/xtrodes-montage-exg,https://shop.emotiv.com/xtrodes-exg%E2%82%82-multi-electrode-patch/,TRUE
/products/standard-5-years,/emotivpro,TRUE
/pages/black-friday-2024,https://shop.emotiv.com/,TRUE
/pages/comparison-prerequisites,/pages/comparison,TRUE
/blogs/careers/business-finance-analyst-financial-planning-analysis-fp-a,/blogs/careers,TRUE
/pages/cyber-monday-2024,https://shop.emotiv.com/,TRUE
/blogs/careers/react-developer-product-prototyping-hanoi,/blogs/careers,TRUE
/pages/emotiv-app-v1,/emotiv-app,TRUE
/pages/2024-black-friday-waitlist,https://shop.emotiv.com/,TRUE
/products/standard-team-3-year,/emotivpro,TRUE
/pages/tabbed-pass-through-mode,/pages/quick-start-guide-extender,TRUE
/blogs/independent-studies/engaging-the-brain,/blogs/independent-research/engaging-the-brain,TRUE
/products/test-subscription-contract,/emotivpro,TRUE
/pages/tabbed-sd-card-recording-mode,/pages/quick-start-guide-extender,TRUE
/blogs/press/davos-2020,/blogs/press,TRUE
/policies/shipping-policy,/pages/shipping,TRUE
/blogs/glos,/blogs/glossary,TRUE
/products/emotivpro-acquire,/emotivpro,TRUE
/products/standard-3-years,/emotivpro,TRUE
/blogs/press/introducing-the-new-emotiv-launcher-emotivpro-suite-3-0,/emotivpro,TRUE
/blogs/career,/blogs/careers,TRUE
/blogs/careers/qa-automation-lead-hanoi-vietnam,/blogs/careers,TRUE
/blogs/video/understanding-appreciation-music,/blogs/video,TRUE
/pages/emotiv-insight-leading-mind-control-bci-technology-v2,/pages/bci,TRUE
/blogs/news/how-handi-arcade-bci-game-controllers,/blogs/blog/handi-arcade-bci-game-controllers,TRUE
/independent-studies/automatic-detection-of-eeg-artefacts-arising-from-head-movements-using-eeg-and-gyroscope-signals/,/blogs/independent-research/automatic-detection-of-eeg-artefacts-arising-from-head-movements-using-eeg-and-gyroscope-signals,TRUE
/blogs/independent-studies/automatic-detection-of-eeg-artefacts-arising-from-head-movements-using-eeg-and-gyroscope-signals/,/blogs/independent-research/automatic-detection-of-eeg-artefacts-arising-from-head-movements-using-eeg-and-gyroscope-signals,TRUE
/developer,/pages/developer,TRUE
/glossary/data-privacy/,/blogs/glossary/data-privacy,TRUE
/contact-support/,/pages/contact,TRUE
/epoc/,/pages/quick-start-guide-epoc-plus,TRUE
/epoc-x/,/epoc-x,TRUE
/epoc-flex/,/products/flex-saline,TRUE
/product/emotiv-usb-receiver-universal-model/,https://shop.emotiv.com/usb-receiver-universal-model/,TRUE
/emotivpro/,/emotivpro,TRUE
/emotiv-labs/,https://labs.emotiv.com/,TRUE
/emotiv-bci/,/emotiv-bci,TRUE
/tools/knowledge-base/general-information/understanding-the-difference-between-emotivpro-and-the-cortex-sdk,/,TRUE
/products,https://shop.emotiv.com/,TRUE
/products/epoc-flex-gel-sensor-kit,https://shop.emotiv.com/,TRUE
/blogs/news/independent-research/tagged/category_blog,https://www.emotiv.com/blogs/news/tagged/category_blog,TRUE
/blogs/independent-research/tagged/category_blog,https://www.emotiv.com/blogs/independent-research,TRUE
/tools/knowledge-base/emotivpro-technical-information/can-i-analyze-eeg-with-matlab-or-eeglab,https://www.emotiv.com/tools/knowledge-base/technical-research-information,TRUE
/tools/knowledge-base/category/xtrodes-cleaning-and-servicing,https://www.emotiv.com/tools/knowledge-base,TRUE
/tools/knowledge-base/epoc-flex/advancing-high-density-eeg-research-with-flex,https://www.emotiv.com/tools/knowledge-base,TRUE
/emotivpro/acquire/,https://www.emotiv.com/products/emotivpro,TRUE
/products/epoc-flex-saline-sensor-kit,https://shop.emotiv.com/,TRUE
/tools/recurring/login/,https://account.emotiv.com/my-account/,TRUE
/account,https://account.emotiv.com/my-account/,TRUE
/setup,/pages/setup,TRUE
/services/login_with_shop/,/,TRUE
/services/login_with_shop/authorize,/,TRUE
/tools/knowledge-base/shipping-return,/knowledge-base/shipping-return,TRUE
/tools/knowledge-base/account-subscription,/knowledge-base/account-subscription,TRUE
/tools/knowledge-base/data-stream,/knowledge-base/data-stream,TRUE
/tools/knowledge-base/software-sdk,/knowledge-base/software-sdk,TRUE
/tools/knowledge-base/troubleshooting-cleaning,/knowledge-base/troubleshooting-cleaning,TRUE
/tools/knowledge-base/technical-research-information,/knowledge-base/technical-research-information,TRUE
/tools/knowledge-base/headsets,/knowledge-base/headsets,TRUE
/tools/knowledge-base/is-software-included-when-you-purchase-emotiv-eeg-headset,/knowledge-base/is-software-included-when-you-purchase-emotiv-eeg-headset,TRUE
/tools/knowledge-base/eeg-downsampling-2048-vs-256hz,/knowledge-base/eeg-downsampling-2048-vs-256hz,TRUE
/tools/knowledge-base/x-trodes-ee-10-20-system-correspondence,/knowledge-base/x-trodes-ee-10-20-system-correspondence,TRUE
/tools/knowledge-base/why-users-connect-emotiv-epoc-x-usb-receiver-bluetooth,/knowledge-base/why-do-users-connect-the-emotiv-epoc-x-via-the-usb-receiver-or-bluetooth,TRUE
/tools/knowledge-base/advancing-high-density-eeg-research,/knowledge-base/advancing-high-density-eeg-research,TRUE
/tools/knowledge-base/difference-between-flex-saline-sensors-and-flex-gel-sensors,/knowledge-base/difference-between-flex-saline-sensors-and-flex-gel-sensors,TRUE
/tools/knowledge-base/embed-ecg-eog-electrodes-systems-with-epoc-fle,/knowledge-base/embed-ecg-eog-electrodes-systems-with-epoc-fle,TRUE
/tools/knowledge-base/what-to-do-if-x-trodes-blinking-red-led,/knowledge-base/what-to-do-if-x-trodes-blinking-red-led,TRUE
/tools/knowledge-base/maximum-range-bluetooth-x-trodes,/knowledge-base/maximum-range-bluetooth-x-trodes,TRUE
/tools/knowledge-base/ensure-good-electrode-contact,/knowledge-base/ensure-good-electrode-contact,TRUE
/tools/knowledge-base/what-do-x-trodes-patches-provide,/knowledge-base/what-do-x-trodes-patches-provide,TRUE
/tools/knowledge-base/advantages-of-x-trodes-smart-skin,/knowledge-base/advantages-of-x-trodes-smart-skin,TRUE
/tools/knowledge-base/why-no-conductive-gel-required-x-trodes,/knowledge-base/why-no-conductive-gel-required-x-trodes,TRUE
/tools/knowledge-base/does-x-trodes-measure-brain-activity,/knowledge-base/does-x-trodes-measure-brain-activity,TRUE
/tools/knowledge-base/do-x-trodes-electrodes-come-in-different-sizes,/knowledge-base/do-x-trodes-electrodes-come-in-different-sizes,TRUE
/tools/knowledge-base/types-of-signals-measured-with-x-trodes,/knowledge-base/types-of-signals-measured-with-x-trodes,TRUE
/tools/knowledge-base/make-x-trodes-patch-more-flexible,/knowledge-base/make-x-trodes-patch-more-flexible,TRUE
/tools/knowledge-base/types-of-smart-skin-electrodes,/knowledge-base/types-of-smart-skin-electrodes,TRUE
/tools/knowledge-base/adjust-electrodes-to-different-body-areas,/knowledge-base/adjust-electrodes-to-different-body-areas,TRUE
/tools/knowledge-base/how-long-do-x-trodes-electrodes-last,/knowledge-base/how-long-do-x-trodes-electrodes-last,TRUE
/tools/knowledge-base/does-ground-location-matter-x-trodes,/knowledge-base/does-ground-location-matter-x-trodes,TRUE
/tools/knowledge-base/x-trodes-clinical-trials,/knowledge-base/x-trodes-clinical-trials,TRUE
/tools/knowledge-base/are-x-trodes-electrodes-suitable-for-all-skin-types,/knowledge-base/are-x-trodes-electrodes-suitable-for-all-skin-types,TRUE
/tools/knowledge-base/are-electrodes-suitable-for-children,/knowledge-base/are-electrodes-suitable-for-children,TRUE
/tools/knowledge-base/can-signals-be-obtained-from-different-body-weights,/knowledge-base/can-signals-be-obtained-from-different-body-weights,TRUE
/tools/knowledge-base/battery-type-used-in-x-trodes-recording-system,/knowledge-base/battery-type-used-in-x-trodes-recording-system,TRUE
/tools/knowledge-base/is-extracted-data-raw-or-filtered,/knowledge-base/is-extracted-data-raw-or-filtered,TRUE
/tools/knowledge-base/sample-rate-bluetooth-streamed-signals,/knowledge-base/sample-rate-bluetooth-streamed-signals,TRUE
/tools/knowledge-base/size-and-weight-of-x-trodes-equipment,/knowledge-base/size-and-weight-of-x-trodes-equipment,TRUE
/tools/knowledge-base/does-recording-system-come-in-additional-colors,/knowledge-base/does-recording-system-come-in-additional-colors,TRUE
/tools/knowledge-base/can-i-reuse-x-trodes-electrodes,/knowledge-base/can-i-reuse-x-trodes-electrodes,TRUE
/tools/knowledge-base/x-trodes-user-manual-tutorial-videos,/knowledge-base/x-trodes-user-manual-tutorial-videos,TRUE
/tools/knowledge-base/list-of-publications-x-trodes,/knowledge-base/list-of-publications-x-trodes,TRUE
/tools/knowledge-base/emotiv-data-streams,/knowledge-base/emotiv-data-streams,TRUE
/tools/knowledge-base/how-to-stream-eeg-data-from-emotiv-to-touchdesigner,/knowledge-base/how-to-stream-eeg-data-from-emotiv-to-touchdesigner,TRUE
/tools/knowledge-base/eeg-quality-over-time-maintenance,/knowledge-base/eeg-quality-over-time-maintenance,TRUE
/tools/knowledge-base/understanding-the-difference-between-emotivpro-and-the-cortex-sdk,/knowledge-base/understanding-the-difference-between-emotivpro-and-the-cortex-sdk,TRUE
/tools/knowledge-base/emotiv-disability-communication-tech,/knowledge-base/emotiv-disability-communication-tech,TRUE
/tools/knowledge-base/emotivpro-low-vs-high-beta-waves,/knowledge-base/emotivpro-low-vs-high-beta-waves,TRUE
/tools/knowledge-base/can-i-analyze-eeg-with-matlab-or-eeglab,/knowledge-base/can-i-analyze-eeg-with-matlab-or-eeglab,TRUE
/tools/knowledge-base/emotivbci-signal-processing-machine-learning,/knowledge-base/understanding-the-signal-processing-and-machine-learning-capabilities-of-the-emotivbci-platform,TRUE
/tools/knowledge-base/how-to-import-edf-files-from-emotivpro-into-eeglab,/knowledge-base/how-to-import-edf-files-from-emotivpro-into-eeglab,TRUE
/tools/knowledge-base/do-emotiv-headsets-measure-brain-signals,/knowledge-base/do-emotiv-headsets-measure-brain-signals,TRUE
/tools/knowledge-base/emotiv-detections-and-algorithms,/knowledge-base/emotiv-detections-and-algorithms,TRUE
/tools/knowledge-base/sensor-values-exported-csv,/knowledge-base/understanding-sensor-values-in-exported-csv-data,TRUE
/tools/knowledge-base/epoc-vs-clinical-eeg,/knowledge-base/how-does-epoc-compare-to-other-clinical-eeg-systems,TRUE
/tools/knowledge-base/event-related-potentials-support,/knowledge-base/event-related-potentials-support,TRUE
/tools/knowledge-base/drowsiness-alertness-metrics,/knowledge-base/do-we-have-some-value-to-depict-the-level-of-drowsiness-or-alertness,TRUE
/tools/knowledge-base/export-muscle-artifacts-emotivpro,/knowledge-base/is-there-a-way-to-export-muscle-artifacts-to-csv-or-edf-file-from-emotivpro,TRUE
/tools/knowledge-base/reference-sensors-emotiv-hardware,/knowledge-base/everything-you-need-to-know-about-reference-sensors-of-emotiv-hardware,TRUE
/tools/knowledge-base/mental-command-algorithm-speed,/knowledge-base/how-fast-are-your-learning-algorithms-to-detect-mental-commands,TRUE
/tools/knowledge-base/connect-multiple-headsets-one-computer,/knowledge-base/can-i-connect-multiple-headsets-to-a-single-computer-to-collect-data-concurrently,TRUE
/tools/knowledge-base/measure-delta-waves-emotiv,/knowledge-base/measure-delta-waves-emotiv,TRUE
/tools/knowledge-base/neurofeedback-with-emotiv,/knowledge-base/does-emotiv-offer-a-neurofeedback-application,TRUE
/tools/knowledge-base/emotiv-data-for-qeeg,/knowledge-base/emotiv-data-for-qeeg-interpretation,TRUE
/tools/knowledge-base/emotiv-for-epilepsy-tracking,/knowledge-base/can-emotiv-products-be-used-to-track-epilepsy,TRUE
/tools/knowledge-base/emotiv-compatible-with-vr-ar,/knowledge-base/can-emotiv-products-be-worn-with-vr-ar,TRUE
/tools/knowledge-base/data-storage-and-privacy,/knowledge-base/data-storage-and-privacy,TRUE
/tools/knowledge-base/measure-erp-components-p300,/knowledge-base/can-i-measure-event-related-potential-(erp)-components-such-as-p300-with-emotiv-headsets,TRUE
/tools/knowledge-base/stream-eeg-with-matlab-eeglab,/knowledge-base/stream-eeg-with-matlab-eeglab,TRUE
/tools/knowledge-base/artifact-removal-in-emotivpro,/knowledge-base/does-emotivpro-automatically-remove-artifacts-from-the-eeg-data-collected,TRUE
/tools/knowledge-base/emotiv-data-stream-latency,/knowledge-base/emotiv-data-stream-latency,TRUE
/tools/knowledge-base/signal-quality-thick-hair-epocx-flex,/knowledge-base/signal-quality-thick-hair-epocx-flex,TRUE
/tools/knowledge-base/clean-flex-sensors-caps,/knowledge-base/clean-flex-sensors-caps,TRUE
/tools/knowledge-base/modify-insight-headband,/knowledge-base/modify-insight-headband,TRUE
/tools/knowledge-base/clean-insight-headset-sensors,/knowledge-base/clean-insight-headset-sensors,TRUE
/tools/knowledge-base/make-insight-primer-saline,/knowledge-base/make-insight-primer-saline,TRUE
/tools/knowledge-base/why-cant-charge-headset-in-use,/knowledge-base/why-cant-charge-headset-in-use,TRUE
/tools/knowledge-base/how-to-register-your-app-id-with-cortex-sdk-for-development,/knowledge-base/how-to-register-your-app-id-with-cortex-sdk-for-development,TRUE
/tools/knowledge-base/getting-started-with-the-emotiv-developer-program,/knowledge-base/getting-started-with-the-emotiv-developer-program,TRUE
/tools/knowledge-base/how-to-download-emotiv-sdk,/knowledge-base/how-to-download-emotiv-sdk,TRUE
/tools/knowledge-base/do-i-need-a-ced-channel-location-file-to-import-emotiv-epoc-x-data-into-eeglab,/knowledge-base/do-i-need-a-ced-channel-location-file-to-import-emotiv-epoc-x-data-into-eeglab,TRUE
/tools/knowledge-base/emotivpro-with-eprime,/knowledge-base/emotivpro-with-eprime,TRUE
/tools/knowledge-base/pro-lite-capabilities,/knowledge-base/pro-lite-capabilities,TRUE
/tools/knowledge-base/submit-feedback-emotivpro,/knowledge-base/submit-feedback-emotivpro,TRUE
/tools/knowledge-base/after-pro-license-expires,/knowledge-base/after-pro-license-expires,TRUE
/tools/knowledge-base/use-emotivpro-without-internet,/knowledge-base/use-emotivpro-without-internet,TRUE
/tools/knowledge-base/why-is-my-eeg-quality-flickering-in-emotivpro,/knowledge-base/why-is-my-eeg-quality-flickering-in-emotivpro,TRUE
/tools/knowledge-base/add-event-markers-emotivpro,/knowledge-base/add-event-markers-emotivpro,TRUE
/tools/knowledge-base/register-cortex-app-id-sdk,/knowledge-base/register-cortex-app-id-sdk,TRUE
/tools/knowledge-base/performance-metrics,/knowledge-base/performance-metrics,TRUE
/tools/knowledge-base/mental-commands,/knowledge-base/mental-commands,TRUE
/tools/knowledge-base/facial-expressions,/knowledge-base/facial-expressions,TRUE
/tools/knowledge-base/why-is-my-emotivpro-still-showing-as-pro-lite-after-purchase,/knowledge-base/why-is-my-emotivpro-still-showing-as-pro-lite-after-purchase,TRUE
/tools/knowledge-base/cancel-emotiv-subscription,/knowledge-base/cancel-emotiv-subscription,TRUE
/tools/knowledge-base/upgrade-downgrade-emotiv-subscription,/knowledge-base/upgrade-downgrade-emotiv-subscription,TRUE
/tools/knowledge-base/activate-emotiv-license,/knowledge-base/activate-emotiv-license,TRUE
/tools/knowledge-base/understanding-tax-exemption-for-emotiv-orders,/knowledge-base/understanding-tax-exemption-for-emotiv-orders,TRUE
/tools/knowledge-base/can-i-return-a-product-for-a-refund,/knowledge-base/can-i-return-a-product-for-a-refund,TRUE
/tools/knowledge-base/damaged-or-wrong-product,/knowledge-base/damaged-or-wrong-product,TRUE
/tools/knowledge-base/package-not-received-but-delivered,/knowledge-base/package-not-received-but-delivered,TRUE
/tools/knowledge-base/tracking-number-not-updating,/knowledge-base/tracking-number-not-updating,TRUE
/tools/knowledge-base/order-delayed-or-lost,/knowledge-base/order-delayed-or-lost,TRUE
/tools/knowledge-base/change-shipping-address,/knowledge-base/change-shipping-address,TRUE
/tools/knowledge-base/track-my-order,/knowledge-base/track-my-order,TRUE
/tools/knowledge-base/shipping-costs,/knowledge-base/shipping-costs,TRUE
/tools/knowledge-base/emotiv-shipping-locations,/knowledge-base/emotiv-shipping-locations,TRUE
/tools/knowledge-base/import-taxes-customs-fees,/knowledge-base/import-taxes-customs-fees,TRUE
"/.""",/collections/mobile-eeg-headsets,TRUE
/…/EmotivEPOCSpecifications2014.pdf,/epoc-x,TRUE
/1_0/1_3.htm,/,TRUE
/10-20-eeg,/blogs/how-to/understanding-the-10-20-system-of-eeg-electrode-placement,TRUE
/14-channel-wireless-eeg-headset-epoc-x/,/epoc-x,TRUE
/3_0/pr/pr022607a.htm,/,TRUE
/3_0/pr/pr022607b.htm,/,TRUE
/5_0/5_2.htm,/,TRUE
/5-channel-wireless-eeg-headset-insight/,/insight,TRUE
/account/logout,/,TRUE
/api/unstable/graphql.json,/,TRUE
/apps/,/collections/mobile-eeg-headsets,TRUE
/apps/epoc/,/epoc-x,TRUE
/apps/epoc/299,/epoc-x,TRUE
/apps/epoc/299/5,/epoc-x,TRUE
/bci-api-application-form/,/pages/bci,TRUE
/bci-gaming/,/pages/bci,TRUE
/bci-guide,/blogs/glossary/brain-computer-interface-guide,TRUE
/bci-guide/,/blogs/glossary/brain-computer-interface-guide,TRUE
/biometrics-diagram/,/blogs/glossary/biometrics,TRUE
/blog/,/collections/mobile-eeg-headsets,TRUE
/blog/achieve-optimal-performance-using-eeg-tech/,/blogs/news/achieve-optimal-performance-using-eeg-tech,TRUE
/blog/ai-models-in-eeg-research/,/blogs/news/ai-models-in-eeg-research,TRUE
/blog/better-functioning-tech-makes-for-less-stress-at-work/,/blogs/news/better-functioning-tech-makes-for-less-stress-at-work,TRUE
/blog/developer-project-eeg-controlled-rover-a-brain-computer-interface/,/blogs/news/developer-project-eeg-controlled-rover-a-brain-computer-interface,TRUE
/blog/eeg-technology-for-employee-wellness/,/blogs/news/eeg-technology-for-employee-wellness,TRUE
/blog/emotivpipeline-omni-alpha/,/pages/our-technology,TRUE
/blog/female-role-model-project-new-york/,/blogs/news/female-role-model-project-new-york,TRUE
/blog/how-emotiv-found-its-way-to-the-off-broadway-stage-an-interview-with-tjasa-ferme-of-the-female-role-model-project/,/blogs/news/how-emotiv-found-its-way-to-the-off-broadway-stage-an-interview-with-tjasa-ferme-of-the-female-role-model-project,TRUE
/blog/huffington-post-an-entrepreneur-makes-speech-a-reality-for-all/,/blogs/news/huffington-post-an-entrepreneur-makes-speech-a-reality-for-all,TRUE
/blog/integrating-eeg-system-into-vehicles/,/blogs/news/integrating-eeg-system-into-vehicles,TRUE
/blog/neuromarketing-in-market-research/,/blogs/news/neuromarketing-in-market-research,TRUE
/blog/neuroscience-can-help-explain-football-fans-behaviour,/blogs/news/neuroscience-can-help-explain-football-fans-behaviour,TRUE
/blog/noor-brain-opera-ellen-pearlman/,/blogs/news/noor-brain-opera-ellen-pearlman,TRUE
/blog/olfactory-detection-system,/blogs/news/:PUp1bDXI6,TRUE
/blog/the-future-of-work-is-here-now,/blogs/news/the-future-of-work-is-here-now,TRUE
/blog/the-future-of-work-is-here-now/,/blogs/news/the-future-of-work-is-here-now,TRUE
/blog/the-real-future-of-work/,/blogs/news/the-real-future-of-work,TRUE
/blog/why-is-it-important-to-know-your-brain/,/blogs/news/why-is-it-important-to-know-your-brain,TRUE
/blog/workplace-wellness-and-roi/,/blogs/news/workplace-wellness-and-roi,TRUE
/blog/world-first-brain-drone-race/,/pages/our-technology,TRUE
/blogs/career/senior-devops-engineer-emotiv-hanoi-office,/blogs/careers,TRUE
/blogs/career/tagged/category_careers,/blogs/careers,TRUE
/blogs/careers/css-cum-internal-sales-lead-hanoi-vietnam,/blogs/careers,TRUE
/blogs/careers/graphic-designer-hanoi-vietnam,/blogs/careers,TRUE
/blogs/careers/product-associate-hanoi-vietnam,/blogs/careers,TRUE
/blogs/ebook.atom,/pages/our-technology,TRUE
